"Message",Low,"已經開始建置。"
"Message",Low,"專案 ""Unnamed_1"" (預設目標):"
"Message",Low,"以工具版本 ""4.0"" 建置。"
"Message",Low,"專案 ""E:\VSproject\RaspApp1\RaspApp1\Unnamed_1"" 的檔案 ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets"" 中的目標 ""PrintILCStartMessage"" (目標 ""Build"" 與它有依存關係):"
"Message",Low,"正在使用組件 ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\ilc.exe"" 中的 ""IlcMessageTask"" 工作。"
"Message",Low,"工作 ""IlcMessageTask"""
"Message",High,"Starting .NET Native compilation"
"Message",Low,"工作 ""IlcMessageTask"" 執行完成。"
"Message",Low,"專案 ""Unnamed_1"" 中的目標 ""PrintILCStartMessage"" 建置完成。"
"Message",Low,"專案 ""E:\VSproject\RaspApp1\RaspApp1\Unnamed_1"" 的檔案 ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets"" 中的目標 ""RunGatekeeper"" (目標 ""Build"" 與它有依存關係):"
"Message",Low,"正在使用組件 ""Microsoft.Build.Tasks.v4.0, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a"" 中的 ""WriteLinesToFile"" 工作。"
"Message",Low,"工作 ""WriteLinesToFile"""
"Message",Low,"工作 ""WriteLinesToFile"" 執行完成。"
"Message",Low,"正在使用組件 ""Microsoft.Build.ILTasks"" 中的 ""StartProcessTask"" 工作。"
"Message",Low,"工作 ""StartProcessTask"""
"Message",Normal,"Launching 'C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\tools\Gatekeeper.exe @""E:\VSproject\RaspApp1\RaspApp1\obj\x86\Release\ilc\intermediate\gkargs.rsp""'"
"Message",Low,"Microsoft (R) .NET Native Gatekeeper Version 1.0.24208.01 "
"Message",Low,"Copyright (C) Microsoft Corporation.  All rights reserved. "
"Message",Low," "
"Message",Low,"Checking assembly 'E:\VSproject\RaspApp1\RaspApp1\obj\x86\Release\ilc\in\RaspApp1.exe'. "
"Message",Low,"Checking assembly 'E:\VSproject\RaspApp1\RaspApp1\obj\x86\Release\ilc\in\System.Net.Http.Extensions.dll'. "
"Message",Low,"Checking assembly 'E:\VSproject\RaspApp1\RaspApp1\obj\x86\Release\ilc\in\WeatherNetUWP.dll'. "
